score	negative_comment	city_name	date	positive_comment	target	overall_comment
8.3		kao-hsiung	2018年10月21日		德立庄 - 高雄博爱馆	好可以吧。
10		kao-hsiung	2018年10月18日		德立庄 - 高雄博爱馆	距離後驛捷運站很近、附近有一家網紅店巴黎波波，推薦。
9.2		kao-hsiung	2017年11月13日		塩旅社	推荐的
10		kao-hsiung	2017年10月14日		塩旅社	床很大很舒服
9.6		kao-hsiung	2018年5月6日		宫赏艺术大饭店	性价比很高，适合亲子游
7.1		kao-hsiung	2018年5月2日		宫赏艺术大饭店	房间比较大 住的比较舒服
10		kao-hsiung	2017年6月23日		华大商旅	下次还会选择
10		kao-hsiung	2019年2月11日		西子湾沙滩会馆	都不错
10		kao-hsiung	2019年2月10日		西子湾沙滩会馆	都不错
7.1		kao-hsiung	2019年2月3日		青雨行馆 	睡觉体验不佳
10		kao-hsiung	2019年1月21日		青雨行馆 	首先，这间住宿价格很便宜（同区里民宿性价比较高一家）...
7.5		kao-hsiung	2018年12月3日		高雄丽馨商旅七贤馆	总体不错
10		kao-hsiung	2018年11月20日		高雄丽馨商旅七贤馆	非常不錯！
10		kao-hsiung	2019年1月10日		单人房住宿空间 - 高雄林森馆	很棒
8.8		kao-hsiung	2019年1月6日		单人房住宿空间 - 高雄林森馆	公共区域很宽敞
10		t-ai-pei	2018年5月18日		信星青年旅馆 - 台北车站	99分，少一分嫌你自满
10		t-ai-pei	2018年5月18日		信星青年旅馆 - 台北车站	第一次住青旅，完全超出我的想象的
10		kao-hsiung	2017年7月30日		鸟巢顶级商旅	酒店很新，床超好睡。
10		kao-hsiung	2017年7月28日		鸟巢顶级商旅	这家酒店位置很不错，离六合夜市只有5分钟路程。
6.7		kao-hsiung	2018年3月22日		城市商旅 - 真爱馆	还行吧，就是一般的快捷酒店。
10		kao-hsiung	2018年3月10日		城市商旅 - 真爱馆	非常满意
8.3		kao-hsiung	2018年10月14日		德立庄 - 高雄博爱馆	离捷运站步行5分钟，房费很便宜而且还含早，房间大小正常比较舒适
8.8		kao-hsiung	2018年10月8日		德立庄 - 高雄博爱馆	性价比高
8.8		kao-hsiung	2017年10月12日		塩旅社	地理位置好，超多吃的，离哈玛星又近，很方便。
7.5		kao-hsiung	2017年8月21日		塩旅社	床睡得蛮舒服的，比较宽和大。
5.0		kao-hsiung	2018年4月30日		宫赏艺术大饭店	作为一家主题亲子酒店可谓名副其实，预定时有提要求也满足了...
8.8		kao-hsiung	2018年4月27日		宫赏艺术大饭店	地点很棒，很方便，早餐不错
10		kao-hsiung	2018年11月5日		青雨行馆 	工作人员超级nice！
10		kao-hsiung	2018年4月26日		青雨行馆 	人很友善 服务很好， 还有免费冰淇淋和小点心，...
9.6		kao-hsiung	2018年10月25日		高雄丽馨商旅七贤馆	服务态度非常棒，空间大，早餐品种丰富，住的非常舒适。
10		kao-hsiung	2018年9月12日		高雄丽馨商旅七贤馆	他们服务态度亲切的(首先我们的态度也非常友善)
7.9		kao-hsiung	2019年1月2日		单人房住宿空间 - 高雄林森馆	很棒
10		kao-hsiung	2018年12月29日		单人房住宿空间 - 高雄林森馆	地理位置不错，性价比高，离夜市和捷运站很近
9.6		t-ai-pei	2018年5月16日		信星青年旅馆 - 台北车站	
10		t-ai-pei	2018年5月16日		信星青年旅馆 - 台北车站	青年旅舍體驗的標準。
10		kao-hsiung	2017年7月26日		鸟巢顶级商旅	酒店在市中心很方便，房间很大床蛮舒服的。
10		kao-hsiung	2017年7月25日		鸟巢顶级商旅	酒店性价比很高，房间很大而且很干净，服务很满意，早餐也很不错。
9.2		kao-hsiung	2019年3月31日		泓扬精致商旅	总体还不错，就是感觉有点陈旧了
7.5		kao-hsiung	2018年3月5日		城市商旅 - 真爱馆	可能下回不会选这间了
10		kao-hsiung	2018年2月26日		城市商旅 - 真爱馆	地理位置很不错，楼下就是驳二艺术区，酒店房间很干净...
10		kao-hsiung	2018年10月8日		德立庄 - 高雄博爱馆	整体不错，性价比较高
8.8		kao-hsiung	2018年10月8日		德立庄 - 高雄博爱馆	性价比很高
2.9		kao-hsiung	2017年7月27日		塩旅社	设备和环境都很差
9.2		kao-hsiung	2019年5月9日		塩旅社	酒店不错，性价比很高。
8.3		kao-hsiung	2018年4月21日		宫赏艺术大饭店	推荐，下次来还会选择入住。
10		kao-hsiung	2018年4月17日		宫赏艺术大饭店	在台湾期间最舒服的住宿
8.8		kao-hsiung	2018年2月22日		青雨行馆 	爱河边上，但是盐埕埔捷运站也有十几分钟的路程...
9.6		kao-hsiung	2018年1月9日		青雨行馆 	满意！感受到了高雄人的热情！
10		kao-hsiung	2018年6月2日		高雄丽馨商旅七贤馆	真心觉得很不错，枕头和被子很舒服😌...
10		kao-hsiung	2018年5月26日		高雄丽馨商旅七贤馆	很棒的体验哦～
10		kao-hsiung	2018年12月17日		单人房住宿空间 - 高雄林森馆	经济实惠！
7.9		kao-hsiung	2018年11月5日		单人房住宿空间 - 高雄林森馆	还不错，
9.6		t-ai-pei	2018年5月15日		信星青年旅馆 - 台北车站	大厅真的好棒 角落里还有一把吉他一把尤克里里
